顺序	神奇宝贝百科编号	全国图鉴编号	名字	备注
60	025GM	25	皮卡丘	超极巨化
61	025Pa	25	皮卡丘	搭档
62	026	26	雷丘	
63	026F	26	雷丘	雌性
64	026A	26	雷丘	阿罗拉
65	027	27	穿山鼠	
66	027A	27	穿山鼠	阿罗拉
67	028	28	穿山王	
68	028A	28	穿山王	阿罗拉
69	029	29	尼多兰	
70	030	30	尼多娜	
71	031	31	尼多后	
72	032	32	尼多朗	
73	033	33	尼多力诺	
74	034	34	尼多王	
75	035	35	皮皮	
76	036	36	皮可西	
77	037	37	六尾	
78	037A	37	六尾	阿罗拉
79	038	38	九尾	
80	038A	38	九尾	阿罗拉
81	039	39	胖丁	
82	040	40	胖可丁	
83	041	41	超音蝠	
84	041F	41	超音蝠	雌性
85	042	42	大嘴蝠	
86	042F	42	大嘴蝠	雌性
87	043	43	走路草	
88	044	44	臭臭花	
89	044F	44	臭臭花	雌性
90	045	45	霸王花	
91	045F	45	霸王花	雌性
92	046	46	派拉斯	
93	047	47	派拉斯特	
94	048	48	毛球	
95	049	49	摩鲁蛾	
96	050	50	地鼠	
97	050A	50	地鼠	阿罗拉
98	051	51	三地鼠	
99	051A	51	三地鼠	阿罗拉
100	052	52	喵喵	
101	052A	52	喵喵	阿罗拉
102	052G	52	喵喵	伽勒尔
103	052GM	52	喵喵	超极巨化
104	053	53	猫老大	
105	053A	53	猫老大	阿罗拉
106	054	54	可达鸭	
107	055	55	哥达鸭	
108	056	56	猴怪	
109	057	57	火暴猴	
110	058	58	卡蒂狗	
111	058H	58	卡蒂狗	洗翠
112	059	59	风速狗	
113	059H	59	风速狗	洗翠
	059HL	59	风速狗	洗翠王
114	060	60	蚊香蝌蚪	
115	061	61	蚊香君	
116	062	62	蚊香泳士	
117	063	63	凯西	
118	064	64	勇基拉	
119	064F	64	勇基拉	雌性
120	065	65	胡地	
121	065F	65	胡地	雌性
122	065M	65	胡地	超级进化
123	066	66	腕力	
124	067	67	豪力	
125	068	68	怪力	
126	068GM	68	怪力	超极巨化
127	069	69	喇叭芽	
128	070	70	口呆花	
129	071	71	大食花	
130	072	72	玛瑙水母	
131	073	73	毒刺水母	
132	074	74	小拳石	
133	074A	74	小拳石	阿罗拉
134	075	75	隆隆石	
135	075A	75	隆隆石	阿罗拉
136	076	76	隆隆岩	
137	076A	76	隆隆岩	阿罗拉
138	077	77	小火马	
139	077G	77	小火马	伽勒尔
140	078	78	烈焰马	
141	078G	78	烈焰马	伽勒尔
142	079	79	呆呆兽	
143	079G	79	呆呆兽	伽勒尔
144	080	80	呆壳兽	
145	080M	80	呆壳兽	超级进化
146	080G	80	呆壳兽	伽勒尔
147	081	81	小磁怪	
148	082	82	三合一磁怪	
149	083	83	大葱鸭	
150	083G	83	大葱鸭	伽勒尔
151	084	84	嘟嘟	
152	084F	84	嘟嘟	雌性
153	085	85	嘟嘟利	
154	085F	85	嘟嘟利	雌性
155	086	86	小海狮	
156	087	87	白海狮	
157	088	88	臭泥	
158	088A	88	臭泥	阿罗拉
159	089	89	臭臭泥	
160	089A	89	臭臭泥	阿罗拉
161	090	90	大舌贝	
162	091	91	刺甲贝	
163	092	92	鬼斯	
164	093	93	鬼斯通	
165	094	94	耿鬼	
166	094M	94	耿鬼	超级进化
167	094GM	94	耿鬼	超极巨化
168	095	95	大岩蛇	
169	096	96	催眠貘	
170	097	97	引梦貘人	
171	097F	97	引梦貘人	雌性
172	098	98	大钳蟹	
173	099	99	巨钳蟹	
174	099GM	99	巨钳蟹	超极巨化
175	100	100	霹雳电球	
176	100H	100	霹雳电球	洗翠
177	101	101	顽皮雷弹	
178	101H	101	顽皮雷弹	洗翠
	101HL	101	顽皮雷弹	洗翠王
179	102	102	蛋蛋	
180	103	103	椰蛋树	
181	103A	103	椰蛋树	阿罗拉
182	104	104	卡拉卡拉	
183	105	105	嘎啦嘎啦	
184	105A	105	嘎啦嘎啦	阿罗拉
185	106	106	飞腿郎	
186	107	107	快拳郎	
187	108	108	大舌头	
188	109	109	瓦斯弹	
189	110	110	双弹瓦斯	
190	110G	110	双弹瓦斯	伽勒尔
191	111	111	独角犀牛	
192	111F	111	独角犀牛	雌性
193	112	112	钻角犀兽	
194	112F	112	钻角犀兽	雌性
195	113	113	吉利蛋	
196	114	114	蔓藤怪	
197	115	115	袋兽	
198	115M	115	袋兽	超级进化
199	116	116	墨海马	
200	117	117	海刺龙	
201	118	118	角金鱼	
202	118F	118	角金鱼	雌性
203	119	119	金鱼王	
204	119F	119	金鱼王	雌性
205	120	120	海星星	
206	121	121	宝石海星	
207	122	122	魔墙人偶	
208	122G	122	魔墙人偶	伽勒尔
209	123	123	飞天螳螂	
210	123F	123	飞天螳螂	雌性
211	124	124	迷唇姐	
212	125	125	电击兽	
213	126	126	鸭嘴火兽	
214	127	127	凯罗斯	
215	127M	127	凯罗斯	超级进化
216	128	128	肯泰罗	
217	128PC	128	肯泰罗	帕底亚斗战种
218	128PB	128	肯泰罗	帕底亚火炽种
219	128PA	128	肯泰罗	帕底亚水澜种
220	129	129	鲤鱼王	
221	129F	129	鲤鱼王	雌性
222	130	130	暴鲤龙	
223	130F	130	暴鲤龙	雌性
224	130M	130	暴鲤龙	超级进化
225	131	131	拉普拉斯	
226	131GM	131	拉普拉斯	超极巨化
227	132	132	百变怪	
228	133	133	伊布	
229	133F	133	伊布	雌性
230	133GM	133	伊布	超极巨化
231	133Pa	133	伊布	搭档
232	134	134	水伊布	
233	135	135	雷伊布	
234	136	136	火伊布	
235	137	137	多边兽	
236	138	138	菊石兽	
237	139	139	多刺菊石兽	
238	140	140	化石盔	
239	141	141	镰刀盔	
240	142	142	化石翼龙	
241	142M	142	化石翼龙	超级进化
242	143	143	卡比兽	
243	143GM	143	卡比兽	超极巨化
244	144	144	急冻鸟	
245	144G	144	急冻鸟	伽勒尔
246	145	145	闪电鸟	
247	145G	145	闪电鸟	伽勒尔
248	146	146	火焰鸟	
249	146G	146	火焰鸟	伽勒尔
250	147	147	迷你龙	
251	148	148	哈克龙	
252	149	149	快龙	
253	150	150	超梦	
254	150MX	150	超梦	超级进化X
255	150MY	150	超梦	超极巨化Y
256	151	151	梦幻	
257	152	152	菊草叶	
258	153	153	月桂叶	
259	154	154	大竺葵	
260	154F	154	大竺葵	雌性
261	155	155	火球鼠	
262	156	156	火岩鼠	
263	157	157	火暴兽	
264	157H	157	火暴兽	洗翠
265	158	158	小锯鳄	
266	159	159	蓝鳄	
267	160	160	大力鳄	
268	161	161	尾立	
269	162	162	大尾立	
270	163	163	咕咕	
271	164	164	猫头夜鹰	
272	165	165	芭瓢虫	
273	165F	165	芭瓢虫	雌性
274	166	166	安瓢虫	
275	166F	166	安瓢虫	雌性
276	167	167	圆丝蛛	
277	168	168	阿利多斯	
278	169	169	叉字蝠	
279	170	170	灯笼鱼	
280	171	171	电灯怪	
281	172	172	皮丘	
282	172S	172	皮丘	刺刺耳
283	173	173	皮宝宝	
284	174	174	宝宝丁	
285	175	175	波克比	
286	176	176	波克基古	
287	177	177	天然雀	
288	178	178	天然鸟	
289	178F	178	天然鸟	雌性
290	179	179	咩利羊	
291	180	180	茸茸羊	
292	181	181	电龙	
293	181M	181	电龙	超级进化
294	182	182	美丽花	
295	183	183	玛力露	
296	184	184	玛力露丽	
297	185	185	树才怪	
298	185F	185	树才怪	雌性
299	186	186	蚊香蛙皇	
300	186F	186	蚊香蛙皇	雌性
301	187	187	毽子草	
302	188	188	毽子花	
303	189	189	毽子棉	
304	190	190	长尾怪手	
305	190F	190	长尾怪手	雌性
306	191	191	向日种子	
307	192	192	向日花怪	
308	193	193	蜻蜻蜓	
309	194	194	乌波	
310	194F	194	乌波	雌性
311	194P	194	乌波	帕底亚
312	195	195	沼王	
313	195F	195	沼王	雌性
314	196	196	太阳伊布	
315	197	197	月亮伊布	
316	198	198	黑暗鸦	
317	198F	198	黑暗鸦	雌性
318	199	199	呆呆王	
319	199G	199	呆呆王	伽勒尔
320	200	200	梦妖	
321	201	201	未知图腾	A
322	201B	201	未知图腾	B
323	201C	201	未知图腾	C
324	201D	201	未知图腾	D
325	201E	201	未知图腾	E
326	201F	201	未知图腾	F
327	201G	201	未知图腾	G
328	201H	201	未知图腾	H
329	201I	201	未知图腾	I
330	201J	201	未知图腾	J
331	201K	201	未知图腾	K
332	201L	201	未知图腾	L
333	201M	201	未知图腾	M
334	201N	201	未知图腾	N
335	201O	201	未知图腾	O
336	201P	201	未知图腾	P
337	201Q	201	未知图腾	Q
338	201R	201	未知图腾	R
339	201S	201	未知图腾	S
340	201T	201	未知图腾	T
341	201U	201	未知图腾	U
342	201V	201	未知图腾	V
343	201W	201	未知图腾	W
344	201X	201	未知图腾	X
345	201Y	201	未知图腾	Y
346	201Z	201	未知图腾	Z
347	201EX	201	未知图腾	!
348	201QU	201	未知图腾	?
349	202	202	果然翁	
350	202F	202	果然翁	雌性
351	203	203	麒麟奇	
352	203F	203	麒麟奇	雌性
353	204	204	榛果球	
354	205	205	佛烈托斯	
355	206	206	土龙弟弟	
356	207	207	天蝎	
357	207F	207	天蝎	雌性
358	208	208	大钢蛇	
359	208F	208	大钢蛇	雌性
360	208M	208	大钢蛇	超级进化
361	209	209	布鲁	
362	210	210	布鲁皇	
363	211	211	千针鱼	
364	211H	211	千针鱼	洗翠
365	212	212	巨钳螳螂	
366	212F	212	巨钳螳螂	雌性
367	212M	212	巨钳螳螂	超级进化
368	213	213	壶壶	
369	214	214	赫拉克罗斯	
370	214F	214	赫拉克罗斯	雌性
371	214M	214	赫拉克罗斯	超级进化
372	215	215	狃拉	
373	215F	215	狃拉	雌性
374	215H	215	狃拉	洗翠
375	215HF	215	狃拉	洗翠雌性
376	216	216	熊宝宝	
377	217	217	圈圈熊	
378	217F	217	圈圈熊	雌性
379	218	218	熔岩虫	
380	219	219	熔岩蜗牛	
381	220	220	小山猪	
382	221	221	长毛猪	
383	221F	221	长毛猪	雌性
384	222	222	太阳珊瑚	
385	222G	222	太阳珊瑚	伽勒尔
386	223	223	铁炮鱼	
387	224	224	章鱼桶	
388	224F	224	章鱼桶	雌性
389	225	225	信使鸟	
390	226	226	巨翅飞鱼	
391	227	227	盔甲鸟	
392	228	228	戴鲁比	
393	229	229	黑鲁加	
394	229F	229	黑鲁加	雌性
395	229M	229	黑鲁加	超级进化
396	230	230	刺龙王	
397	231	231	小小象	
398	232	232	顿甲	
399	232F	232	顿甲	雌性
400	233	233	多边兽2型	
401	234	234	惊角鹿	
402	235	235	图图犬	
403	236	236	无畏小子	
404	237	237	战舞郎	
405	238	238	迷唇娃	
406	239	239	电击怪	
407	240	240	鸭嘴宝宝	
408	241	241	大奶罐	
409	242	242	幸福蛋	
410	243	243	雷公	
411	244	244	炎帝	
412	245	245	水君	
413	246	246	幼基拉斯	
414	247	247	沙基拉斯	
415	248	248	班基拉斯	
416	248M	248	班基拉斯	超级进化
417	249	249	洛奇亚	
418	250	250	凤王	
419	251	251	时拉比	
420	252	252	木守宫	
421	253	253	森林蜥蜴	
422	254	254	蜥蜴王	
423	254M	254	蜥蜴王	超级进化
424	255	255	火稚鸡	
425	256	256	力壮鸡	
426	256F	256	力壮鸡	
427	257	257	火焰鸡	
428	257F	257	火焰鸡	雌性
429	257M	257	火焰鸡	超级进化
430	258	258	水跃鱼	
431	259	259	沼跃鱼	
432	260	260	巨沼怪	
433	260M	260	巨沼怪	超级进化
434	261	261	土狼犬	
435	262	262	大狼犬	
436	263	263	蛇纹熊	
437	263G	263	蛇纹熊	伽勒尔
438	264	264	直冲熊	
439	264G	264	直冲熊	伽勒尔
440	265	265	刺尾虫	
441	266	266	甲壳茧	
442	267	267	狩猎凤蝶	
443	267F	267	狩猎凤蝶	雌性
444	268	268	盾甲茧	
445	269	269	毒粉蛾	
446	269F	269	毒粉蛾	雌性
447	270	270	莲叶童子	
448	271	271	莲帽小童	
449	272	272	乐天河童	
450	272F	272	乐天河童	雌性
451	273	273	橡实果	
452	274	274	长鼻叶	
453	274F	274	长鼻叶	雌性
454	275	275	狡猾天狗	
455	275F	275	狡猾天狗	雌性
456	276	276	傲骨燕	
457	277	277	大王燕	
458	278	278	长翅鸥	
459	279	279	大嘴鸥	
460	280	280	拉鲁拉丝	
461	281	281	奇鲁莉安	
462	282	282	沙奈朵	
463	282M	282	沙奈朵	超级进化
464	283	283	溜溜糖球	
465	284	284	雨翅蛾	
466	285	285	蘑蘑菇	
467	286	286	斗笠菇	
468	287	287	懒人獭	
469	288	288	过动猿	
470	289	289	请假王	
471	290	290	土居忍士	
472	291	291	铁面忍者	
473	292	292	脱壳忍者	
474	293	293	咕妞妞	
475	294	294	吼爆弹	
476	295	295	爆音怪	
477	296	296	幕下力士	
478	297	297	铁掌力士	
479	298	298	露力丽	
480	299	299	朝北鼻	
481	300	300	向尾喵	
482	301	301	优雅猫	
483	302	302	勾魂眼	
484	302M	302	勾魂眼	超级进化
485	303	303	大嘴娃	
486	303M	303	大嘴娃	超级进化
487	304	304	可可多拉	
488	305	305	可多拉	
489	306	306	波士可多拉	
490	306M	306	波士可多拉	超级进化
491	307	307	玛沙那	
492	307F	307	玛沙那	雌性
493	308	308	恰雷姆	
494	308F	308	恰雷姆	雌性
495	308M	308	恰雷姆	超级进化
496	309	309	落雷兽	
497	310	310	雷电兽	
498	310M	310	雷电兽	超级进化
499	311	311	正电拍拍	
500	312	312	负电拍拍	
501	313	313	电萤虫	
502	314	314	甜甜萤	
503	315	315	毒蔷薇	
504	315F	315	毒蔷薇	雌性
505	316	316	溶食兽	
506	316F	316	溶食兽	雌性
507	317	317	吞食兽	
508	317F	317	吞食兽	雌性
509	318	318	利牙鱼	
510	319	319	巨牙鲨	
511	319M	319	巨牙鲨	超级进化
512	320	320	吼吼鲸	
513	321	321	吼鲸王	
514	322	322	呆火驼	
515	322F	322	呆火驼	雌性
516	323	323	喷火驼	
517	323F	323	喷火驼	雌性
518	323M	323	喷火驼	超级进化
519	324	324	煤炭龟	
520	325	325	跳跳猪	
521	326	326	噗噗猪	
522	327	327	晃晃斑	
523	328	328	大颚蚁	
524	329	329	超音波幼虫	
525	330	330	沙漠蜻蜓	
526	331	331	刺球仙人掌	
527	332	332	梦歌仙人掌	
528	332F	332	梦歌仙人掌	雌性
529	333	333	青绵鸟	
530	334	334	七夕青鸟	
531	334M	334	七夕青鸟	超级进化
532	335	335	猫鼬斩	
533	336	336	饭匙蛇	
534	337	337	月石	
535	338	338	太阳岩	
536	339	339	泥泥鳅	
537	340	340	鲶鱼王	
538	341	341	龙虾小兵	
539	342	342	铁螯龙虾	
540	343	343	天秤偶	
541	344	344	念力土偶	
542	345	345	触手百合	
543	346	346	摇篮百合	
544	347	347	太古羽虫	
545	348	348	太古盔甲	
546	349	349	丑丑鱼	
547	350	350	美纳斯	
548	350F	350	美纳斯	雌性
549	351	351	飘浮泡泡	
550	351S	351	飘浮泡泡	太阳
551	351R	351	飘浮泡泡	雨水
552	351H	351	飘浮泡泡	雪云
553	352	352	变隐龙	
554	353	353	怨影娃娃	
555	354	354	诅咒娃娃	
556	354M	354	诅咒娃娃	超级进化
557	355	355	夜巡灵	
558	356	356	彷徨夜灵	
559	357	357	热带龙	
560	358	358	风铃铃	
561	359	359	阿勃梭鲁	
562	359M	359	阿勃梭鲁	超级进化
563	360	360	小果然	
564	361	361	雪童子	
565	362	362	冰鬼护	
566	362M	362	冰鬼护	超级进化
567	363	363	海豹球	
568	364	364	海魔狮	
569	365	365	帝牙海狮	
570	366	366	珍珠贝	
571	367	367	猎斑鱼	
572	368	368	樱花鱼	
573	369	369	古空棘鱼	
574	369F	369	古空棘鱼	雌性
575	370	370	爱心鱼	
576	371	371	宝贝龙	
577	372	372	甲壳龙	
578	373	373	暴飞龙	
579	373M	373	暴飞龙	超级进化
580	374	374	铁哑铃	
581	375	375	金属怪	
582	376	376	巨金怪	
583	376M	376	巨金怪	超级进化
584	377	377	雷吉洛克	
585	378	378	雷吉艾斯	
586	379	379	雷吉斯奇鲁	
587	380	380	拉帝亚斯	
588	380M	380	拉帝亚斯	超级进化
589	381	381	拉帝欧斯	
590	381M	381	拉帝欧斯	超级进化
591	382	382	盖欧卡	
592	382P	382	盖欧卡	原始回归
593	383	383	固拉多	
594	383P	383	固拉多	原始回归
595	384	384	烈空坐	
596	384M	384	烈空坐	超级进化
597	385	385	基拉祈	
598	386	386	代欧奇希斯	
599	386A	386	代欧奇希斯	攻击
600	386D	386	代欧奇希斯	防御
601	386S	386	代欧奇希斯	速度
602	387	387	草苗龟	
603	388	388	树林龟	
604	389	389	土台龟	
605	390	390	小火焰猴	
606	391	391	猛火猴	
607	392	392	烈焰猴	
608	393	393	波加曼	
609	394	394	波皇子	
610	395	395	帝王拿波	
611	396	396	姆克儿	
612	396F	396	姆克儿	雌性
613	397	397	姆克鸟	
614	397F	397	姆克鸟	雌性
615	398	398	姆克鹰	
616	398F	398	姆克鹰	雌性
617	399	399	大牙狸	
618	399F	399	大牙狸	雌性
619	400	400	大尾狸	
620	400F	400	大尾狸	雌性
621	401	401	圆法师	
622	401F	401	圆法师	雌性
623	402	402	音箱蟀	
624	402F	402	音箱蟀	雌性
625	403	403	小猫怪	
626	403F	403	小猫怪	雌性
627	404	404	勒克猫	
628	404F	404	勒克猫	雌性
629	405	405	伦琴猫	
630	405F	405	伦琴猫	雌性
631	406	406	含羞苞	
632	407	407	罗丝雷朵	
633	407F	407	罗丝雷朵	雌性
634	408	408	头盖龙	
635	409	409	战槌龙	
636	410	410	盾甲龙	
637	411	411	护城龙	
638	412	412	结草儿	
639	412S	412	结草儿	砂土
640	412G	412	结草儿	垃圾
641	413	413	结草贵妇	
642	413S	413	结草贵妇	砂土
643	413G	413	结草贵妇	垃圾
644	414	414	绅士蛾	
645	415	415	三蜜蜂	
646	415F	415	三蜜蜂	雌性
647	416	416	蜂女王	
648	417	417	帕奇利兹	
649	417F	417	帕奇利兹	雌性
650	418	418	泳圈鼬	
651	418F	418	泳圈鼬	雌性
652	419	419	浮潜鼬	
653	419F	419	浮潜鼬	雌性
654	420	420	樱花宝	
655	421	421	樱花儿	
656	421S	421	樱花儿	晴天
657	422	422	无壳海兔	西海
658	422E	422	无壳海兔	东海
659	423	423	海兔兽	西海
660	423E	423	海兔兽	东海
661	424	424	双尾怪手	
662	424F	424	双尾怪手	雌性
663	425	425	飘飘球	
664	426	426	随风球	
665	427	427	卷卷耳	
666	428	428	长耳兔	
667	428M	428	长耳兔	超级进化
668	429	429	梦妖魔	
669	430	430	乌鸦头头	
670	431	431	魅力喵	
671	432	432	东施喵	
672	433	433	铃铛响	
673	434	434	臭鼬噗	
674	435	435	坦克臭鼬	
675	436	436	铜镜怪	
676	437	437	青铜钟	
677	438	438	盆才怪	
678	439	439	魔尼尼	
679	440	440	小福蛋	
680	441	441	聒噪鸟	
681	442	442	花岩怪	
682	443	443	圆陆鲨	
683	443F	443	圆陆鲨	雌性
684	444	444	尖牙陆鲨	
685	444F	444	尖牙陆鲨	雌性
686	445	445	烈咬陆鲨	
687	445F	445	烈咬陆鲨	雌性
688	445M	445	烈咬陆鲨	超级进化
689	446	446	小卡比兽	
690	447	447	利欧路	
691	448	448	路卡利欧	
692	448M	448	路卡利欧	超级进化
693	449	449	沙河马	
694	449F	449	沙河马	雌性
695	450	450	河马兽	
696	450F	450	河马兽	雌性
697	451	451	钳尾蝎	
698	452	452	龙王蝎	
699	453	453	不良蛙	
700	453F	453	不良蛙	雌性
701	454	454	毒骷蛙	
702	454F	454	毒骷蛙	雌性
703	455	455	尖牙笼	
704	456	456	荧光鱼	
705	456F	456	荧光鱼	雌性
706	457	457	霓虹鱼	
707	457F	457	霓虹鱼	雌性
708	458	458	小球飞鱼	
709	459	459	雪笠怪	
710	459F	459	雪笠怪	雌性
711	460	460	暴雪王	
712	460F	460	暴雪王	雌性
713	460M	460	暴雪王	超级进化
714	461	461	玛狃拉	
715	461F	461	玛狃拉	雌性
716	462	462	自爆磁怪	
717	463	463	大舌舔	
718	464	464	超甲狂犀	
719	464F	464	超甲狂犀	雌性
720	465	465	巨蔓藤	
721	465F	465	巨蔓藤	雌性
722	466	466	电击魔兽	
723	467	467	鸭嘴炎兽	
724	468	468	波克基斯	
725	469	469	远古巨蜓	
726	470	470	叶伊布	
727	471	471	冰伊布	
728	472	472	天蝎王	
729	473	473	象牙猪	
730	473F	473	象牙猪	雌性
731	474	474	多边兽乙型	
732	475	475	艾路雷朵	
733	475M	475	艾路雷朵	超级进化
734	476	476	大朝北鼻	
735	477	477	黑夜魔灵	
736	478	478	雪妖女	
737	479	479	洛托姆	
738	479H	479	洛托姆	加热
739	479W	479	洛托姆	清洗
740	479F	479	洛托姆	结霜
741	479Fa	479	洛托姆	旋转
742	479M	479	洛托姆	切割
743	480	480	由克希	
744	481	481	艾姆利多	
745	482	482	亚克诺姆	
746	483	483	帝牙卢卡	
747	483O	483	帝牙卢卡	起源
748	484	484	帕路奇亚	
749	484O	484	帕路奇亚	起源
750	485	485	席多蓝恩	
751	486	486	雷吉奇卡斯	
752	487	487	骑拉帝纳	
753	487O	487	骑拉帝纳	起源
754	488	488	克雷色利亚	
755	489	489	霏欧纳	
756	490	490	玛纳霏	
757	491	491	达克莱伊	
758	492	492	谢米	
759	492S	492	谢米	天空
760	493	493	阿尔宙斯	一般
761	493Fig	493	阿尔宙斯	格斗
762	493Fly	493	阿尔宙斯	飞行
763	493Poi	493	阿尔宙斯	毒
764	493Gro	493	阿尔宙斯	地面
765	493Roc	493	阿尔宙斯	岩
766	493Bug	493	阿尔宙斯	虫
767	493Gho	493	阿尔宙斯	幽灵
768	493Ste	493	阿尔宙斯	钢
769	493Fir	493	阿尔宙斯	火
770	493Wat	493	阿尔宙斯	水
771	493Gra	493	阿尔宙斯	草
772	493Ele	493	阿尔宙斯	电
773	493Psy	493	阿尔宙斯	超能力
774	493Ice	493	阿尔宙斯	冰
775	493Dra	493	阿尔宙斯	龙
776	493Dar	493	阿尔宙斯	恶
777	493Fai	493	阿尔宙斯	妖精
778	494	494	比克提尼	
779	495	495	藤藤蛇	
780	496	496	青藤蛇	
781	497	497	君主蛇	
782	498	498	暖暖猪	
783	499	499	炒炒猪	
784	500	500	炎武王	
785	501	501	水水獭	
786	502	502	双刃丸	
787	503	503	大剑鬼	
788	503H	503	大剑鬼	洗翠
789	504	504	探探鼠	
790	505	505	步哨鼠	
791	506	506	小约克	
792	507	507	哈约克	
793	508	508	长毛狗	
794	509	509	扒手猫	
795	510	510	酷豹	
796	511	511	花椰猴	
797	512	512	花椰猿	
798	513	513	爆香猴	
799	514	514	爆香猿	
800	515	515	冷水猴	
801	516	516	冷水猿	
802	517	517	食梦梦	
803	518	518	梦梦蚀	
804	519	519	豆豆鸽	
805	520	520	咕咕鸽	
806	521	521	高傲雉鸡	
807	521F	521	高傲雉鸡	雌性
808	522	522	斑斑马	
809	523	523	雷电斑马	
810	524	524	石丸子	
811	525	525	地幔岩	
812	526	526	庞岩怪	
813	527	527	滚滚蝙蝠	
814	528	528	心蝙蝠	
815	529	529	螺钉地鼠	
816	530	530	龙头地鼠	
817	531	531	差不多娃娃	
818	531M	531	差不多娃娃	超级进化
819	532	532	搬运小匠	
820	533	533	铁骨土人	
821	534	534	修建老匠	
822	535	535	圆蝌蚪	
823	536	536	蓝蟾蜍	
824	537	537	蟾蜍王	
825	538	538	投摔鬼	
826	539	539	打击鬼	
827	540	540	虫宝包	
828	541	541	宝包茧	
829	542	542	保姆虫	
830	543	543	百足蜈蚣	
831	544	544	车轮球	
832	545	545	蜈蚣王	
833	546	546	木棉球	
834	547	547	风妖精	
835	548	548	百合根娃娃	
836	549	549	裙儿小姐	
837	549H	549	裙儿小姐	洗翠
	549HL	549	裙儿小姐	洗翠女王
838	550	550	野蛮鲈鱼	红条纹
839	550B	550	野蛮鲈鱼	蓝条纹
840	550W	550	野蛮鲈鱼	白条纹
841	551	551	黑眼鳄	
842	552	552	混混鳄	
843	553	553	流氓鳄	
844	554	554	火红不倒翁	
845	554G	554	火红不倒翁	伽勒尔
846	555	555	达摩狒狒	
847	555Z	555	达摩狒狒	达摩
848	555G	555	达摩狒狒	伽勒尔
849	555GZ	555	达摩狒狒	伽勒尔达摩
850	556	556	沙铃仙人掌	
851	557	557	石居蟹	
852	558	558	岩殿居蟹	
853	559	559	滑滑小子	
854	560	560	头巾混混	
855	561	561	象征鸟	
856	562	562	哭哭面具	
857	562G	562	哭哭面具	伽勒尔
858	563	563	迭失棺	
859	564	564	原盖海龟	
860	565	565	肋骨海龟	
861	566	566	始祖小鸟	
862	567	567	始祖大鸟	
863	568	568	破破袋	
864	569	569	灰尘山	
865	569GM	569	灰尘山	超极巨化
866	570	570	索罗亚	
867	570H	570	索罗亚	洗翠
868	571	571	索罗亚克	
869	571H	571	索罗亚克	洗翠
870	572	572	泡沫栗鼠	
871	573	573	奇诺栗鼠	
872	574	574	哥德宝宝	
873	575	575	哥德小童	
874	576	576	哥德小姐	
875	577	577	单卵细胞球	
876	578	578	双卵细胞球	
877	579	579	人造细胞卵	
878	580	580	鸭宝宝	
879	581	581	舞天鹅	
880	582	582	迷你冰	
881	583	583	多多冰	
882	584	584	双倍多多冰	
883	585	585	四季鹿	春天
884	585S	585	四季鹿	夏天
885	585A	585	四季鹿	秋天
886	585W	585	四季鹿	冬天
887	586	586	萌芽鹿	春天
888	586S	586	萌芽鹿	夏天
889	586A	586	萌芽鹿	秋天
890	586W	586	萌芽鹿	冬天
891	587	587	电飞鼠	
892	588	588	盖盖虫	
893	589	589	骑士蜗牛	
894	590	590	哎呀球菇	
895	591	591	败露球菇	
896	592	592	轻飘飘	
897	592F	592	轻飘飘	雌性
898	593	593	胖嘟嘟	
899	593F	593	胖嘟嘟	雌性
