文件名	全国图鉴编号	形态编号	性别编号	极巨化状态	霜奶仙编号	前后状态	异色状态	神奇宝贝百科编号
poke_icon_0020_000_md_n_00000000_f_n^u.png	20	0	md	n	00000000	f	n	020
poke_icon_0020_001_mf_n_00000000_f_n^u.png	20	1	mf	n	00000000	f	n	020A
poke_icon_0021_000_mf_n_00000000_f_n^u.png	21	0	mf	n	00000000	f	n	021
poke_icon_0022_000_mf_n_00000000_f_n^u.png	22	0	mf	n	00000000	f	n	022
poke_icon_0023_000_mf_n_00000000_f_n^u.png	23	0	mf	n	00000000	f	n	023
poke_icon_0024_000_mf_n_00000000_f_n^u.png	24	0	mf	n	00000000	f	n	024
poke_icon_0025_000_fd_n_00000000_f_n^u.png	25	0	fd	n	00000000	f	n	025F
poke_icon_0025_000_md_n_00000000_f_n^u.png	25	0	md	n	00000000	f	n	025
poke_icon_0025_000_mf_g_00000000_f_n^u.png	25	0	mf	g	00000000	f	n	025GM
poke_icon_0025_001_mo_n_00000000_f_n^u.png	25	1	mo	n	00000000	f	n	025O
poke_icon_0025_002_mo_n_00000000_f_n^u.png	25	2	mo	n	00000000	f	n	025H
poke_icon_0025_003_mo_n_00000000_f_n^u.png	25	3	mo	n	00000000	f	n	025S
poke_icon_0025_004_mo_n_00000000_f_n^u.png	25	4	mo	n	00000000	f	n	025U
poke_icon_0025_005_mo_n_00000000_f_n^u.png	25	5	mo	n	00000000	f	n	025K
poke_icon_0025_006_mo_n_00000000_f_n^u.png	25	6	mo	n	00000000	f	n	025A
poke_icon_0025_007_mo_n_00000000_f_n^u.png	25	7	mo	n	00000000	f	n	025P
poke_icon_0025_008_fd_n_00000000_f_n^u.png	25	8	fd	n	00000000	f	n	025ParF
poke_icon_0025_008_md_n_00000000_f_n^u.png	25	8	md	n	00000000	f	n	025Par
poke_icon_0025_009_mo_n_00000000_f_n^u.png	25	9	mo	n	00000000	f	n	025W
poke_icon_0026_000_fd_n_00000000_f_n^u.png	26	0	fd	n	00000000	f	n	026F
poke_icon_0026_000_md_n_00000000_f_n^u.png	26	0	md	n	00000000	f	n	026
poke_icon_0026_001_mf_n_00000000_f_n^u.png	26	1	mf	n	00000000	f	n	026A
poke_icon_0027_000_mf_n_00000000_f_n^u.png	27	0	mf	n	00000000	f	n	027
poke_icon_0027_001_mf_n_00000000_f_n^u.png	27	1	mf	n	00000000	f	n	027A
poke_icon_0028_000_mf_n_00000000_f_n^u.png	28	0	mf	n	00000000	f	n	028
poke_icon_0028_001_mf_n_00000000_f_n^u.png	28	1	mf	n	00000000	f	n	028A
poke_icon_0029_000_fo_n_00000000_f_n^u.png	29	0	fo	n	00000000	f	n	029
poke_icon_0030_000_fo_n_00000000_f_n^u.png	30	0	fo	n	00000000	f	n	030
poke_icon_0031_000_fo_n_00000000_f_n^u.png	31	0	fo	n	00000000	f	n	031
poke_icon_0032_000_mo_n_00000000_f_n^u.png	32	0	mo	n	00000000	f	n	032
poke_icon_0033_000_mo_n_00000000_f_n^u.png	33	0	mo	n	00000000	f	n	033
poke_icon_0034_000_mo_n_00000000_f_n^u.png	34	0	mo	n	00000000	f	n	034
poke_icon_0035_000_mf_n_00000000_f_n^u.png	35	0	mf	n	00000000	f	n	035
poke_icon_0036_000_mf_n_00000000_f_n^u.png	36	0	mf	n	00000000	f	n	036
poke_icon_0037_000_mf_n_00000000_f_n^u.png	37	0	mf	n	00000000	f	n	037
poke_icon_0037_001_mf_n_00000000_f_n^u.png	37	1	mf	n	00000000	f	n	037A
poke_icon_0038_000_mf_n_00000000_f_n^u.png	38	0	mf	n	00000000	f	n	038
poke_icon_0038_001_mf_n_00000000_f_n^u.png	38	1	mf	n	00000000	f	n	038A
poke_icon_0039_000_mf_n_00000000_f_n^u.png	39	0	mf	n	00000000	f	n	039
poke_icon_0040_000_mf_n_00000000_f_n^u.png	40	0	mf	n	00000000	f	n	040
poke_icon_0041_000_fd_n_00000000_f_n^u.png	41	0	fd	n	00000000	f	n	041F
poke_icon_0041_000_md_n_00000000_f_n^u.png	41	0	md	n	00000000	f	n	041
poke_icon_0042_000_fd_n_00000000_f_n^u.png	42	0	fd	n	00000000	f	n	042F
poke_icon_0042_000_md_n_00000000_f_n^u.png	42	0	md	n	00000000	f	n	042
poke_icon_0043_000_mf_n_00000000_f_n^u.png	43	0	mf	n	00000000	f	n	043
poke_icon_0044_000_fd_n_00000000_f_n^u.png	44	0	fd	n	00000000	f	n	044F
poke_icon_0044_000_md_n_00000000_f_n^u.png	44	0	md	n	00000000	f	n	044
poke_icon_0045_000_fd_n_00000000_f_n^u.png	45	0	fd	n	00000000	f	n	045F
poke_icon_0045_000_md_n_00000000_f_n^u.png	45	0	md	n	00000000	f	n	045
poke_icon_0046_000_mf_n_00000000_f_n^u.png	46	0	mf	n	00000000	f	n	046
poke_icon_0047_000_mf_n_00000000_f_n^u.png	47	0	mf	n	00000000	f	n	047
poke_icon_0048_000_mf_n_00000000_f_n^u.png	48	0	mf	n	00000000	f	n	048
poke_icon_0049_000_mf_n_00000000_f_n^u.png	49	0	mf	n	00000000	f	n	049
poke_icon_0050_000_mf_n_00000000_f_n^u.png	50	0	mf	n	00000000	f	n	050
poke_icon_0050_001_mf_n_00000000_f_n^u.png	50	1	mf	n	00000000	f	n	050A
poke_icon_0051_000_mf_n_00000000_f_n^u.png	51	0	mf	n	00000000	f	n	051
poke_icon_0051_001_mf_n_00000000_f_n^u.png	51	1	mf	n	00000000	f	n	051A
poke_icon_0052_000_mf_g_00000000_f_n^u.png	52	0	mf	g	00000000	f	n	052GM
poke_icon_0052_000_mf_n_00000000_f_n^u.png	52	0	mf	n	00000000	f	n	052
poke_icon_0052_001_mf_n_00000000_f_n^u.png	52	1	mf	n	00000000	f	n	052A
poke_icon_0052_002_mf_n_00000000_f_n^u.png	52	2	mf	n	00000000	f	n	052G
poke_icon_0053_000_mf_n_00000000_f_n^u.png	53	0	mf	n	00000000	f	n	053
poke_icon_0053_001_mf_n_00000000_f_n^u.png	53	1	mf	n	00000000	f	n	053A
poke_icon_0054_000_mf_n_00000000_f_n^u.png	54	0	mf	n	00000000	f	n	054
poke_icon_0055_000_mf_n_00000000_f_n^u.png	55	0	mf	n	00000000	f	n	055
poke_icon_0056_000_mf_n_00000000_f_n^u.png	56	0	mf	n	00000000	f	n	056
poke_icon_0057_000_mf_n_00000000_f_n^u.png	57	0	mf	n	00000000	f	n	057
poke_icon_0058_000_mf_n_00000000_f_n^u.png	58	0	mf	n	00000000	f	n	058
poke_icon_0058_001_mf_n_00000000_f_n^u.png	58	1	mf	n	00000000	f	n	058H
poke_icon_0059_000_mf_n_00000000_f_n^u.png	59	0	mf	n	00000000	f	n	059
poke_icon_0059_001_mf_n_00000000_f_n^u.png	59	1	mf	n	00000000	f	n	059H
poke_icon_0060_000_mf_n_00000000_f_n^u.png	60	0	mf	n	00000000	f	n	060
poke_icon_0061_000_mf_n_00000000_f_n^u.png	61	0	mf	n	00000000	f	n	061
poke_icon_0062_000_mf_n_00000000_f_n^u.png	62	0	mf	n	00000000	f	n	062
poke_icon_0063_000_mf_n_00000000_f_n^u.png	63	0	mf	n	00000000	f	n	063
poke_icon_0064_000_fd_n_00000000_f_n^u.png	64	0	fd	n	00000000	f	n	064F
poke_icon_0064_000_md_n_00000000_f_n^u.png	64	0	md	n	00000000	f	n	064
poke_icon_0065_000_fd_n_00000000_f_n^u.png	65	0	fd	n	00000000	f	n	065F
poke_icon_0065_000_md_n_00000000_f_n^u.png	65	0	md	n	00000000	f	n	065
poke_icon_0065_001_mf_n_00000000_f_n^u.png	65	1	mf	n	00000000	f	n	065M
poke_icon_0066_000_mf_n_00000000_f_n^u.png	66	0	mf	n	00000000	f	n	066
poke_icon_0067_000_mf_n_00000000_f_n^u.png	67	0	mf	n	00000000	f	n	067
poke_icon_0068_000_mf_g_00000000_f_n^u.png	68	0	mf	g	00000000	f	n	068GM
poke_icon_0068_000_mf_n_00000000_f_n^u.png	68	0	mf	n	00000000	f	n	068
poke_icon_0069_000_mf_n_00000000_f_n^u.png	69	0	mf	n	00000000	f	n	069
poke_icon_0070_000_mf_n_00000000_f_n^u.png	70	0	mf	n	00000000	f	n	070
poke_icon_0071_000_mf_n_00000000_f_n^u.png	71	0	mf	n	00000000	f	n	071
poke_icon_0072_000_mf_n_00000000_f_n^u.png	72	0	mf	n	00000000	f	n	072
poke_icon_0073_000_mf_n_00000000_f_n^u.png	73	0	mf	n	00000000	f	n	073
poke_icon_0074_000_mf_n_00000000_f_n^u.png	74	0	mf	n	00000000	f	n	074
poke_icon_0074_001_mf_n_00000000_f_n^u.png	74	1	mf	n	00000000	f	n	074A
poke_icon_0075_000_mf_n_00000000_f_n^u.png	75	0	mf	n	00000000	f	n	075
poke_icon_0075_001_mf_n_00000000_f_n^u.png	75	1	mf	n	00000000	f	n	075A
poke_icon_0076_000_mf_n_00000000_f_n^u.png	76	0	mf	n	00000000	f	n	076
poke_icon_0076_001_mf_n_00000000_f_n^u.png	76	1	mf	n	00000000	f	n	076A
poke_icon_0077_000_mf_n_00000000_f_n^u.png	77	0	mf	n	00000000	f	n	077
poke_icon_0077_001_mf_n_00000000_f_n^u.png	77	1	mf	n	00000000	f	n	077G
poke_icon_0078_000_mf_n_00000000_f_n^u.png	78	0	mf	n	00000000	f	n	078
poke_icon_0078_001_mf_n_00000000_f_n^u.png	78	1	mf	n	00000000	f	n	078G
poke_icon_0079_000_mf_n_00000000_f_n^u.png	79	0	mf	n	00000000	f	n	079
poke_icon_0079_001_mf_n_00000000_f_n^u.png	79	1	mf	n	00000000	f	n	079G
poke_icon_0080_000_mf_n_00000000_f_n^u.png	80	0	mf	n	00000000	f	n	080
poke_icon_0080_001_mf_n_00000000_f_n^u.png	80	1	mf	n	00000000	f	n	080M
poke_icon_0080_002_mf_n_00000000_f_n^u.png	80	2	mf	n	00000000	f	n	080G
poke_icon_0081_000_uk_n_00000000_f_n^u.png	81	0	uk	n	00000000	f	n	081
poke_icon_0082_000_uk_n_00000000_f_n^u.png	82	0	uk	n	00000000	f	n	082
poke_icon_0083_000_mf_n_00000000_f_n^u.png	83	0	mf	n	00000000	f	n	083
poke_icon_0083_001_mf_n_00000000_f_n^u.png	83	1	mf	n	00000000	f	n	083G
poke_icon_0084_000_fd_n_00000000_f_n^u.png	84	0	fd	n	00000000	f	n	084F
poke_icon_0084_000_md_n_00000000_f_n^u.png	84	0	md	n	00000000	f	n	084
poke_icon_0085_000_fd_n_00000000_f_n^u.png	85	0	fd	n	00000000	f	n	085F
poke_icon_0085_000_md_n_00000000_f_n^u.png	85	0	md	n	00000000	f	n	085
poke_icon_0086_000_mf_n_00000000_f_n^u.png	86	0	mf	n	00000000	f	n	086
poke_icon_0087_000_mf_n_00000000_f_n^u.png	87	0	mf	n	00000000	f	n	087
poke_icon_0088_000_mf_n_00000000_f_n^u.png	88	0	mf	n	00000000	f	n	088
poke_icon_0088_001_mf_n_00000000_f_n^u.png	88	1	mf	n	00000000	f	n	088A
poke_icon_0089_000_mf_n_00000000_f_n^u.png	89	0	mf	n	00000000	f	n	089
poke_icon_0089_001_mf_n_00000000_f_n^u.png	89	1	mf	n	00000000	f	n	089A
poke_icon_0090_000_mf_n_00000000_f_n^u.png	90	0	mf	n	00000000	f	n	090
poke_icon_0091_000_mf_n_00000000_f_n^u.png	91	0	mf	n	00000000	f	n	091
poke_icon_0092_000_mf_n_00000000_f_n^u.png	92	0	mf	n	00000000	f	n	092
poke_icon_0093_000_mf_n_00000000_f_n^u.png	93	0	mf	n	00000000	f	n	093
poke_icon_0094_000_mf_g_00000000_f_n^u.png	94	0	mf	g	00000000	f	n	094GM
poke_icon_0094_000_mf_n_00000000_f_n^u.png	94	0	mf	n	00000000	f	n	094
poke_icon_0094_001_mf_n_00000000_f_n^u.png	94	1	mf	n	00000000	f	n	094M
poke_icon_0095_000_mf_n_00000000_f_n^u.png	95	0	mf	n	00000000	f	n	095
poke_icon_0096_000_mf_n_00000000_f_n^u.png	96	0	mf	n	00000000	f	n	096
poke_icon_0097_000_fd_n_00000000_f_n^u.png	97	0	fd	n	00000000	f	n	097F
poke_icon_0097_000_md_n_00000000_f_n^u.png	97	0	md	n	00000000	f	n	097
poke_icon_0098_000_mf_n_00000000_f_n^u.png	98	0	mf	n	00000000	f	n	098
poke_icon_0099_000_mf_g_00000000_f_n^u.png	99	0	mf	g	00000000	f	n	099GM
poke_icon_0099_000_mf_n_00000000_f_n^u.png	99	0	mf	n	00000000	f	n	099
poke_icon_0100_000_uk_n_00000000_f_n^u.png	100	0	uk	n	00000000	f	n	100
poke_icon_0100_001_uk_n_00000000_f_n^u.png	100	1	uk	n	00000000	f	n	100H
poke_icon_0101_000_uk_n_00000000_f_n^u.png	101	0	uk	n	00000000	f	n	101
poke_icon_0101_001_uk_n_00000000_f_n^u.png	101	1	uk	n	00000000	f	n	101H
poke_icon_0102_000_mf_n_00000000_f_n^u.png	102	0	mf	n	00000000	f	n	102
poke_icon_0103_000_mf_n_00000000_f_n^u.png	103	0	mf	n	00000000	f	n	103
poke_icon_0103_001_mf_n_00000000_f_n^u.png	103	1	mf	n	00000000	f	n	103A
poke_icon_0104_000_mf_n_00000000_f_n^u.png	104	0	mf	n	00000000	f	n	104
poke_icon_0105_000_mf_n_00000000_f_n^u.png	105	0	mf	n	00000000	f	n	105
poke_icon_0105_001_mf_n_00000000_f_n^u.png	105	1	mf	n	00000000	f	n	105A
poke_icon_0106_000_mo_n_00000000_f_n^u.png	106	0	mo	n	00000000	f	n	106
poke_icon_0107_000_mo_n_00000000_f_n^u.png	107	0	mo	n	00000000	f	n	107
poke_icon_0108_000_mf_n_00000000_f_n^u.png	108	0	mf	n	00000000	f	n	108
poke_icon_0109_000_mf_n_00000000_f_n^u.png	109	0	mf	n	00000000	f	n	109
poke_icon_0110_000_mf_n_00000000_f_n^u.png	110	0	mf	n	00000000	f	n	110
poke_icon_0110_001_mf_n_00000000_f_n^u.png	110	1	mf	n	00000000	f	n	110G
poke_icon_0111_000_fd_n_00000000_f_n^u.png	111	0	fd	n	00000000	f	n	111F
poke_icon_0111_000_md_n_00000000_f_n^u.png	111	0	md	n	00000000	f	n	111
poke_icon_0112_000_fd_n_00000000_f_n^u.png	112	0	fd	n	00000000	f	n	112F
poke_icon_0112_000_md_n_00000000_f_n^u.png	112	0	md	n	00000000	f	n	112
poke_icon_0113_000_fo_n_00000000_f_n^u.png	113	0	fo	n	00000000	f	n	113
poke_icon_0114_000_mf_n_00000000_f_n^u.png	114	0	mf	n	00000000	f	n	114
poke_icon_0115_000_fo_n_00000000_f_n^u.png	115	0	fo	n	00000000	f	n	115
poke_icon_0115_001_fo_n_00000000_f_n^u.png	115	1	fo	n	00000000	f	n	115M
poke_icon_0116_000_mf_n_00000000_f_n^u.png	116	0	mf	n	00000000	f	n	116
poke_icon_0117_000_mf_n_00000000_f_n^u.png	117	0	mf	n	00000000	f	n	117
poke_icon_0118_000_fd_n_00000000_f_n^u.png	118	0	fd	n	00000000	f	n	118F
poke_icon_0118_000_md_n_00000000_f_n^u.png	118	0	md	n	00000000	f	n	118
poke_icon_0119_000_fd_n_00000000_f_n^u.png	119	0	fd	n	00000000	f	n	119F
poke_icon_0119_000_md_n_00000000_f_n^u.png	119	0	md	n	00000000	f	n	119
poke_icon_0120_000_uk_n_00000000_f_n^u.png	120	0	uk	n	00000000	f	n	120
poke_icon_0121_000_uk_n_00000000_f_n^u.png	121	0	uk	n	00000000	f	n	121
poke_icon_0122_000_mf_n_00000000_f_n^u.png	122	0	mf	n	00000000	f	n	122
poke_icon_0122_001_mf_n_00000000_f_n^u.png	122	1	mf	n	00000000	f	n	122G
poke_icon_0123_000_fd_n_00000000_f_n^u.png	123	0	fd	n	00000000	f	n	123F
poke_icon_0123_000_md_n_00000000_f_n^u.png	123	0	md	n	00000000	f	n	123
poke_icon_0124_000_fo_n_00000000_f_n^u.png	124	0	fo	n	00000000	f	n	124
poke_icon_0125_000_mf_n_00000000_f_n^u.png	125	0	mf	n	00000000	f	n	125
poke_icon_0126_000_mf_n_00000000_f_n^u.png	126	0	mf	n	00000000	f	n	126
poke_icon_0127_000_mf_n_00000000_f_n^u.png	127	0	mf	n	00000000	f	n	127
poke_icon_0127_001_mf_n_00000000_f_n^u.png	127	1	mf	n	00000000	f	n	127M
poke_icon_0128_000_mo_n_00000000_f_n^u.png	128	0	mo	n	00000000	f	n	128
poke_icon_0128_001_md_n_00000000_f_n^u.png	128	1	md	n	00000000	f	n	128PC
poke_icon_0128_002_md_n_00000000_f_n^u.png	128	2	md	n	00000000	f	n	128PB
poke_icon_0128_003_md_n_00000000_f_n^u.png	128	3	md	n	00000000	f	n	128PA
poke_icon_0129_000_fd_n_00000000_f_n^u.png	129	0	fd	n	00000000	f	n	129F
poke_icon_0129_000_md_n_00000000_f_n^u.png	129	0	md	n	00000000	f	n	129
poke_icon_0130_000_fd_n_00000000_f_n^u.png	130	0	fd	n	00000000	f	n	130F
poke_icon_0130_000_md_n_00000000_f_n^u.png	130	0	md	n	00000000	f	n	130
poke_icon_0130_001_mf_n_00000000_f_n^u.png	130	1	mf	n	00000000	f	n	130M
poke_icon_0131_000_mf_g_00000000_f_n^u.png	131	0	mf	g	00000000	f	n	131GM
poke_icon_0131_000_mf_n_00000000_f_n^u.png	131	0	mf	n	00000000	f	n	131
poke_icon_0132_000_uk_n_00000000_f_n^u.png	132	0	uk	n	00000000	f	n	132
poke_icon_0133_000_fd_n_00000000_f_n^u.png	133	0	fd	n	00000000	f	n	133F
poke_icon_0133_000_md_n_00000000_f_n^u.png	133	0	md	n	00000000	f	n	133
poke_icon_0133_000_mf_g_00000000_f_n^u.png	133	0	mf	g	00000000	f	n	133GM
poke_icon_0134_000_mf_n_00000000_f_n^u.png	134	0	mf	n	00000000	f	n	134
poke_icon_0135_000_mf_n_00000000_f_n^u.png	135	0	mf	n	00000000	f	n	135
poke_icon_0136_000_mf_n_00000000_f_n^u.png	136	0	mf	n	00000000	f	n	136
poke_icon_0137_000_uk_n_00000000_f_n^u.png	137	0	uk	n	00000000	f	n	137
poke_icon_0138_000_mf_n_00000000_f_n^u.png	138	0	mf	n	00000000	f	n	138
poke_icon_0139_000_mf_n_00000000_f_n^u.png	139	0	mf	n	00000000	f	n	139
poke_icon_0140_000_mf_n_00000000_f_n^u.png	140	0	mf	n	00000000	f	n	140
poke_icon_0141_000_mf_n_00000000_f_n^u.png	141	0	mf	n	00000000	f	n	141
poke_icon_0142_000_mf_n_00000000_f_n^u.png	142	0	mf	n	00000000	f	n	142
poke_icon_0142_001_mf_n_00000000_f_n^u.png	142	1	mf	n	00000000	f	n	142M
poke_icon_0143_000_mf_g_00000000_f_n^u.png	143	0	mf	g	00000000	f	n	143GM
poke_icon_0143_000_mf_n_00000000_f_n^u.png	143	0	mf	n	00000000	f	n	143
poke_icon_0144_000_uk_n_00000000_f_n^u.png	144	0	uk	n	00000000	f	n	144
poke_icon_0144_001_uk_n_00000000_f_n^u.png	144	1	uk	n	00000000	f	n	144G
poke_icon_0145_000_uk_n_00000000_f_n^u.png	145	0	uk	n	00000000	f	n	145
poke_icon_0145_001_uk_n_00000000_f_n^u.png	145	1	uk	n	00000000	f	n	145G
poke_icon_0146_000_uk_n_00000000_f_n^u.png	146	0	uk	n	00000000	f	n	146
poke_icon_0146_001_uk_n_00000000_f_n^u.png	146	1	uk	n	00000000	f	n	146G
poke_icon_0147_000_mf_n_00000000_f_n^u.png	147	0	mf	n	00000000	f	n	147
poke_icon_0148_000_mf_n_00000000_f_n^u.png	148	0	mf	n	00000000	f	n	148
poke_icon_0149_000_mf_n_00000000_f_n^u.png	149	0	mf	n	00000000	f	n	149
poke_icon_0150_000_uk_n_00000000_f_n^u.png	150	0	uk	n	00000000	f	n	150
poke_icon_0150_001_uk_n_00000000_f_n^u.png	150	1	uk	n	00000000	f	n	150MX
poke_icon_0150_002_uk_n_00000000_f_n^u.png	150	2	uk	n	00000000	f	n	150MY
poke_icon_0151_000_uk_n_00000000_f_n^u.png	151	0	uk	n	00000000	f	n	151
poke_icon_0152_000_mf_n_00000000_f_n^u.png	152	0	mf	n	00000000	f	n	152
poke_icon_0153_000_mf_n_00000000_f_n^u.png	153	0	mf	n	00000000	f	n	153
poke_icon_0154_000_fd_n_00000000_f_n^u.png	154	0	fd	n	00000000	f	n	154F
poke_icon_0154_000_md_n_00000000_f_n^u.png	154	0	md	n	00000000	f	n	154
poke_icon_0155_000_mf_n_00000000_f_n^u.png	155	0	mf	n	00000000	f	n	155
poke_icon_0156_000_mf_n_00000000_f_n^u.png	156	0	mf	n	00000000	f	n	156
poke_icon_0157_000_mf_n_00000000_f_n^u.png	157	0	mf	n	00000000	f	n	157
poke_icon_0157_001_mf_n_00000000_f_n^u.png	157	1	mf	n	00000000	f	n	157H
poke_icon_0158_000_mf_n_00000000_f_n^u.png	158	0	mf	n	00000000	f	n	158
poke_icon_0159_000_mf_n_00000000_f_n^u.png	159	0	mf	n	00000000	f	n	159
poke_icon_0160_000_mf_n_00000000_f_n^u.png	160	0	mf	n	00000000	f	n	160
poke_icon_0161_000_mf_n_00000000_f_n^u.png	161	0	mf	n	00000000	f	n	161
poke_icon_0162_000_mf_n_00000000_f_n^u.png	162	0	mf	n	00000000	f	n	162
poke_icon_0163_000_mf_n_00000000_f_n^u.png	163	0	mf	n	00000000	f	n	163
poke_icon_0164_000_mf_n_00000000_f_n^u.png	164	0	mf	n	00000000	f	n	164
poke_icon_0165_000_fd_n_00000000_f_n^u.png	165	0	fd	n	00000000	f	n	165F
poke_icon_0165_000_md_n_00000000_f_n^u.png	165	0	md	n	00000000	f	n	165
poke_icon_0166_000_fd_n_00000000_f_n^u.png	166	0	fd	n	00000000	f	n	166F
poke_icon_0166_000_md_n_00000000_f_n^u.png	166	0	md	n	00000000	f	n	166
poke_icon_0167_000_mf_n_00000000_f_n^u.png	167	0	mf	n	00000000	f	n	167
poke_icon_0168_000_mf_n_00000000_f_n^u.png	168	0	mf	n	00000000	f	n	168
poke_icon_0169_000_mf_n_00000000_f_n^u.png	169	0	mf	n	00000000	f	n	169
poke_icon_0170_000_mf_n_00000000_f_n^u.png	170	0	mf	n	00000000	f	n	170
poke_icon_0171_000_mf_n_00000000_f_n^u.png	171	0	mf	n	00000000	f	n	171
poke_icon_0172_000_mf_n_00000000_f_n^u.png	172	0	mf	n	00000000	f	n	172
poke_icon_0173_000_mf_n_00000000_f_n^u.png	173	0	mf	n	00000000	f	n	173
poke_icon_0174_000_mf_n_00000000_f_n^u.png	174	0	mf	n	00000000	f	n	174
poke_icon_0175_000_mf_n_00000000_f_n^u.png	175	0	mf	n	00000000	f	n	175
poke_icon_0176_000_mf_n_00000000_f_n^u.png	176	0	mf	n	00000000	f	n	176
poke_icon_0177_000_mf_n_00000000_f_n^u.png	177	0	mf	n	00000000	f	n	177
poke_icon_0178_000_fd_n_00000000_f_n^u.png	178	0	fd	n	00000000	f	n	178F
poke_icon_0178_000_md_n_00000000_f_n^u.png	178	0	md	n	00000000	f	n	178
poke_icon_0179_000_mf_n_00000000_f_n^u.png	179	0	mf	n	00000000	f	n	179
poke_icon_0180_000_mf_n_00000000_f_n^u.png	180	0	mf	n	00000000	f	n	180
poke_icon_0181_000_mf_n_00000000_f_n^u.png	181	0	mf	n	00000000	f	n	181
poke_icon_0181_001_mf_n_00000000_f_n^u.png	181	1	mf	n	00000000	f	n	181M
poke_icon_0182_000_mf_n_00000000_f_n^u.png	182	0	mf	n	00000000	f	n	182
poke_icon_0183_000_mf_n_00000000_f_n^u.png	183	0	mf	n	00000000	f	n	183
poke_icon_0184_000_mf_n_00000000_f_n^u.png	184	0	mf	n	00000000	f	n	184
poke_icon_0185_000_fd_n_00000000_f_n^u.png	185	0	fd	n	00000000	f	n	185F
poke_icon_0185_000_md_n_00000000_f_n^u.png	185	0	md	n	00000000	f	n	185
poke_icon_0186_000_fd_n_00000000_f_n^u.png	186	0	fd	n	00000000	f	n	186F
poke_icon_0186_000_md_n_00000000_f_n^u.png	186	0	md	n	00000000	f	n	186
poke_icon_0187_000_mf_n_00000000_f_n^u.png	187	0	mf	n	00000000	f	n	187
